Track name,Artist name,Album,Playlist name,Type,ISRC
"Hen Ogledd - Nell’s prologue","","","2026-02","Playlist",""
"Hen Ogledd - Scales will fall","","","2026-02","Playlist",""
"Hen Ogledd - Dead in a post-truth world","","","2026-02","Playlist",""
"Hen Ogledd - Clara","","","2026-02","Playlist",""
"Hen Ogledd - End of the rhythm","","","2026-02","Playlist",""
"Hen Ogledd - Amser a ddengys","","","2026-02","Playlist",""
"Hen Ogledd - Clear pools","","","2026-02","Playlist",""
"Hen Ogledd - Land of the dead","","","2026-02","Playlist",""
"Mulatu Astatke - Munaye","","","2026-02","Playlist",""
"Mulatu Astatke - Mètché Dershé","","","2026-02","Playlist",""
"Tèsfa-Maryam Kidané - Yetesfa tezeta","","","2026-02","Playlist",""
"Mulatu Astatke - Kasalèfkut Hulu","","","2026-02","Playlist",""
"Mulatu Astatke - Tezeta","","","2026-02","Playlist",""
"Girma Bèyènè · Tèklè Adhanom · Haylu Kèbèdè · Girmay Asmarom · Tèsfa-Maryam Kidané - Ewnèt yèt lagegnesh","","","2026-02","Playlist",""
"Mulatu Astatke - Yègellé Tezeta","","","2026-02","Playlist",""
"Bahta Gèbrè-Heywèt - Bèmgnot Alnorem","","","2026-02","Playlist",""
"Mulatu Astatke - Yèkèrmo Sèw","","","2026-02","Playlist",""
"Tèsfa-Maryam Kidané - Heywèté","","","2026-02","Playlist",""
"Heiner Goebbels - Landscape","","","2026-02","Playlist",""
"Heiner Goebbels - Ye Who Read","","","2026-02","Playlist",""
"Heiner Goebbels - Shall I Speak Of Me","","","2026-02","Playlist",""
"Heiner Goebbels - 2 Dollar","","","2026-02","Playlist",""
"Heiner Goebbels - I My Sea Voyage","","","2026-02","Playlist",""
"Heiner Goebbels - The Year Has Been A Year Of Terror","","","2026-02","Playlist",""
"Heiner Goebbels - The Stars Are Cold Signposts","","","2026-02","Playlist",""
"Heiner Goebbels - Over Some Flasks","","","2026-02","Playlist",""
"Heiner Goebbels - From An Unknown Catastrophe","","","2026-02","Playlist",""
"Heiner Goebbels - A Dead Weight","","","2026-02","Playlist",""
"Heiner Goebbels - Yet We Laughed","","","2026-02","Playlist",""
"Heiner Goebbels - No Arrival No Parking","","","2026-02","Playlist",""
"Heiner Goebbels - Or The Hapless Landing","","","2026-02","Playlist",""
"Heiner Goebbels - And Lo","","","2026-02","Playlist",""
"Heiner Goebbels - In The Back The Swine","","","2026-02","Playlist",""
"Heiner Goebbels - And Then Did We","","","2026-02","Playlist",""
"Angine de Poitrine - Sherpa","","","2026-02","Playlist",""
"Angine de Poitrine - Tohogd","","","2026-02","Playlist",""
"Angine de Poitrine - Tamebsz","","","2026-02","Playlist",""
"Angine de Poitrine - Ababa Hotel","","","2026-02","Playlist",""
"Angine de Poitrine - Sahardnieh","","","2026-02","Playlist",""
"Angine de Poitrine - L'Aberek","","","2026-02","Playlist",""
